"Outlet","Community","Latitude","Longitude","Status","List","Note"
"100 Mile House Free Press","100 Mile House","51.641","-121.297","Active","Black Press",""
"Abbotsford News","Abbotsford","49.05","-122.302","Active","Black Press",""
"Agassiz Harrison Observer","Agassiz","49.238","-121.762","Active","Black Press",""
"Alberni Valley News","Port Alberni","49.234","-124.805","Active","Black Press",""
"Aldergrove Star","Aldergrove","49.058","-122.47","Active","Black Press",""
"Ashcroft Journal","Ashcroft","50.725","-121.282","Active","Black Press",""
"Barriere N.T. Star Journal","Barriere","51.184","-120.123","Active","Black Press",""
"Lakes District News (Burns Lake)","Burns Lake","54.229","-125.76","Active","Black Press",""
"Campbell River Mirror","Campbell River","50.024","-125.245","Active","Black Press",""
"Castlegar News","Castlegar","49.325","-117.659","Active","Black Press",""
"Chemainus Valley Courier","Chemainus","48.924","-123.717","Active","Black Press",""
"Chilliwack Progress","Chilliwack","49.158","-121.951","Active","Black Press",""
"Clearwater Times","Clearwater","51.651","-120.039","Active","Black Press",""
"Cloverdale Reporter","Cloverdale (Surrey)","49.105","-122.727","Active","Black Press",""
"Coast Mountain News","Bella Coola","52.373","-126.752","Active","Black Press",""
"Comox Valley Record","Courtenay (Comox Valley)","49.687","-124.993","Active","Black Press",""
"Cowichan Valley Citizen","Duncan","48.779","-123.708","Active","Black Press",""
"Cranbrook Townsman","Cranbrook","49.512","-115.769","Active","Black Press",""
"Creston Valley Advance","Creston","49.096","-116.513","Active","Black Press",""
"Fernie Free Press","Fernie","49.504","-115.063","Active","Black Press",""
"Fort St. James Courier","Fort St. James","54.443","-124.254","Active","Black Press",""
"Goldstream Gazette","Langford","48.447","-123.505","Active","Black Press",""
"Grand Forks Gazette","Grand Forks","49.033","-118.439","Active","Black Press",""
"Haida Gwaii Observer","Daajing Giids (Haida Gwaii)","53.255","-132.075","Active","Black Press",""
"Hope Standard","Hope","49.383","-121.441","Active","Black Press",""
"Houston Today","Houston","54.397","-126.67","Active","Black Press",""
"Kelowna Capital News","Kelowna","49.888","-119.496","Active","Black Press",""
"Castanet","Kelowna","49.888","-119.496","Active","Other",""
"Kelowna Courier","Kelowna","49.888","-119.496","Active","Other",""
"Keremeos Review","Keremeos","49.203","-119.829","Active","Black Press",""
"Kimberley Bulletin","Kimberley","49.67","-115.978","Active","Black Press",""
"Kitimat Northern Sentinel","Kitimat","54.052","-128.653","Active","Black Press",""
"Ladysmith Chronicle","Ladysmith","48.994","-123.82","Active","Black Press",""
"Lake Country Calendar","Lake Country","50.054","-119.414","Active","Black Press",""
"Lake Cowichan Gazette","Lake Cowichan","48.825","-124.053","Active","Black Press",""
"Langley Advance Times","Langley","49.104","-122.66","Active","Black Press",""
"Maple Ridge News","Maple Ridge","49.219","-122.598","Active","Black Press",""
"Mission City Record","Mission","49.133","-122.31","Active","Black Press",""
"Nanaimo News Bulletin","Nanaimo","49.166","-123.94","Active","Black Press",""
"Nelson Star","Nelson","49.493","-117.294","Active","Black Press",""
"North Delta Reporter","North Delta","49.16","-122.92","Active","Black Press",""
"North Island Gazette","Port Hardy","50.722","-127.493","Active","Black Press",""
"Oak Bay News","Oak Bay","48.426","-123.3","Active","Black Press",""
"Parksville Qualicum Beach News","Parksville","49.319","-124.314","Active","Black Press",""
"Peace Arch News","White Rock","49.025","-122.803","Active","Black Press",""
"Peninsula News Review","Sidney","48.65","-123.399","Active","Black Press",""
"Penticton Western News","Penticton","49.492","-119.589","Active","Black Press",""
"Penticton Herald","Penticton","49.492","-119.589","Active","Other",""
"Quesnel Cariboo Observer","Quesnel","52.979","-122.493","Active","Black Press",""
"Revelstoke Review","Revelstoke","50.998","-118.196","Active","Black Press",""
"Saanich News","Saanich","48.484","-123.381","Active","Black Press",""
"Salmon Arm Observer","Salmon Arm","50.702","-119.272","Active","Black Press",""
"Similkameen Spotlight","Princeton","49.459","-120.506","Active","Black Press",""
"Smithers Interior News","Smithers","54.781","-127.169","Active","Black Press",""
"Sooke News Mirror","Sooke","48.374","-123.726","Active","Black Press",""
"Summerland Review","Summerland","49.6","-119.679","Active","Black Press",""
"Surrey Now-Leader","Surrey","49.19","-122.849","Active","Black Press",""
"Terrace Standard","Terrace","54.518","-128.603","Active","Black Press",""
"The Prince Rupert Northern View","Prince Rupert","54.315","-130.321","Active","Black Press",""
"Trail Times","Trail","49.096","-117.71","Active","Black Press",""
"Vanderhoof Omineca Express","Vanderhoof","54.014","-124.008","Active","Black Press",""
"Vernon Morning Star","Vernon","50.267","-119.272","Active","Black Press",""
"Victoria News","Victoria","48.428","-123.365","Active","Black Press",""
"Victoria Times Colonist","Victoria","48.428","-123.365","Active","Other",""
"West K News","West Kelowna","49.862","-119.583","Active","Black Press",""
"Westerly News","Ucluelet (Tofino–Ucluelet)","48.942","-125.546","Active","Black Press",""
"Williams Lake Tribune","Williams Lake","52.141","-122.142","Active","Black Press",""
"Alaska Highway News","Fort St. John","56.253","-120.846","Inactive","Other",""
"Bowen Island Undercurrent","Bowen Island","49.38","-123.336","Active","Other",""
"Burnaby Now","Burnaby","49.249","-122.98","Inactive","Other",""
"Business in Vancouver","Vancouver","49.282","-123.121","Active","Other",""
"Vancouver is Awesome","Vancouver","49.282","-123.121","Active","Other",""
"Coast Reporter","Sechelt (Sunshine Coast)","49.474","-123.757","Active","Other",""
"Dawson Creek Mirror","Dawson Creek","55.76","-120.236","Inactive","Other","The Northern Horizon serves the wider Peace region."
"The Northern Horizon","Dawson Creek","55.76","-120.236","Active","Other","The Northern Horizon serves the wider Peace region."
"Delta Optimist","Delta (Ladner/Tsawwassen)","49.085","-123.082","Active","Other",""
"Fort Nelson News","Fort Nelson","58.805","-122.697","Inactive","Other",""
"Gabriola Sounder","Gabriola Island","49.157","-123.785","Active","Other",""
"Kamloops This Week","Kamloops","50.676","-120.339","Inactive","Other",""
"Lillooet Bridge River News","Lillooet","50.686","-121.936","Active","Other",""
"Lumby Valley Times","Lumby","50.25","-118.967","Active","Other",""
"Merritt Herald","Merritt","50.112","-120.786","Active","Other",""
"New Westminster Record","New Westminster","49.206","-122.911","Inactive","Other",""
"North Shore News","North Vancouver","49.32","-123.074","Active","Other","Serves West & North Vancouver."
"Okanagan Advertiser","Armstrong","50.448","-119.196","Inactive","Other","Served the wider Okanagan Valley."
"Peachland View","Peachland","49.774","-119.737","Active","Other",""
"Pique News Magazine","Whistler","50.116","-122.954","Active","Other","Serves Whistler & Pemberton."
"Powell River Peak","Powell River","49.836","-124.525","Active","Other",""
"Prince George Citizen","Prince George","53.917","-122.75","Active","Other",""
"Richmond News","Richmond","49.167","-123.137","Inactive","Other",""
"The Rocky Mountain Goat","Valemount","52.83","-119.265","Active","Other","Serves McBride & Valemount."
"Squamish Chief","Squamish","49.702","-123.156","Active","Other",""
"Tri-City News","Coquitlam (Tri-Cities)","49.284","-122.793","Inactive","Other","Served Coquitlam, Port Coquitlam & Port Moody."
